시간,홈앤쇼핑(오늘),홈앤쇼핑(어제),홈앤쇼핑(지난주),NS홈쇼핑,CJ ONSTYLE,홈&쇼핑,GS MY SHOP,CJ ONSTYLE+,GS SHOP,신세계쇼핑,공영쇼핑,롯데홈쇼핑,현대홈쇼핑+샵,W쇼핑,SK 스토아,현대홈쇼핑,KT알파 쇼핑,NS Shop+,쇼핑엔티,LOTTE OneTV
2026-06-02 15:42:00,2339,867,1378,2638,2472,2339,2121,2059,1717,1717,1599,1583,1324,1237,1113,1030,949,767,734,263
2026-06-02 15:42:10,2389,856,1396,2600,2527,2389,2091,2065,1683,1620,1620,1589,1257,1217,1138,1031,953,781,704,257
2026-06-02 15:42:20,2381,858,1410,2587,2478,2381,2052,2040,1593,1578,1616,1600,1232,1199,1160,1039,964,778,668,219
2026-06-02 15:42:30,2383,844,1391,2616,2498,2383,2041,1996,1556,1544,1596,1609,1207,1176,1156,1031,962,791,672,225
2026-06-02 15:42:40,2408,838,1381,2655,2465,2408,2017,1966,1565,1527,1579,1621,1196,1172,1162,1016,969,797,669,240
2026-06-02 15:42:50,2362,841,1380,2681,2435,2362,1935,1995,1569,1553,1513,1633,1224,1118,1227,1047,962,820,658,231
2026-06-02 15:43:00,2362,846,1331,2695,2437,2362,1883,2014,1618,1594,1482,1648,1228,1056,1261,1046,969,825,636,211
2026-06-02 15:43:10,2344,857,1274,2756,2477,2344,1847,2064,1636,1668,1433,1656,1202,1058,1176,1044,972,814,627,199
2026-06-02 15:43:20,2369,887,1283,2772,2537,2369,1879,2177,1596,1769,1405,1675,1185,1038,1099,1021,951,811,626,195
2026-06-02 15:43:30,2400,894,1315,2756,2623,2400,1893,2209,1517,1780,1394,1674,1203,1032,1074,1016,927,832,638,194
2026-06-02 15:43:40,2421,898,1354,2740,2601,2421,1905,2197,1490,1778,1403,1642,1213,1040,1083,1012,914,823,630,192
2026-06-02 15:43:50,2465,915,1401,2678,2591,2465,1907,2156,1522,1779,1381,1632,1255,1046,1074,1008,915,800,636,191
2026-06-02 15:44:00,2500,917,1419,2626,2509,2500,1897,2118,1559,1755,1406,1633,1290,1059,1090,999,894,813,626,197
2026-06-02 15:44:10,2482,920,1434,2618,2515,2482,1916,2052,1578,1793,1438,1648,1311,1065,1100,973,879,809,621,196
2026-06-02 15:44:20,2379,936,1458,2576,2527,2379,1905,1995,1533,1796,1479,1650,1347,1064,1101,990,914,830,621,197
2026-06-02 15:44:30,2251,962,1429,2544,2491,2251,1911,1994,1489,1819,1484,1668,1351,1039,1062,989,947,850,635,194
2026-06-02 15:44:40,2125,965,1365,2520,2466,2125,1923,2017,1438,1818,1516,1701,1346,1050,1063,976,953,848,649,194
2026-06-02 15:44:50,2073,957,1343,2495,2457,2073,1964,2005,1417,1805,1528,1731,1366,1068,1074,958,968,817,672,196
2026-06-02 15:45:00,2056,933,1357,2557,2468,2056,1948,2030,1403,1807,1531,1740,1398,1059,1100,944,1018,827,671,201
2026-06-02 15:45:10,2070,903,1404,2614,2515,2070,1921,2017,1394,1721,1536,1742,1471,1067,1119,951,1041,838,659,197
2026-06-02 15:45:20,2075,886,1466,2609,2586,2075,1890,2025,1400,1614,1579,1741,1535,1062,1166,942,1030,850,680,196
2026-06-02 15:45:30,2071,886,1512,2629,2556,2071,1880,2022,1407,1512,1594,1745,1608,1091,1221,953,1012,849,707,201
2026-06-02 15:45:40,2051,910,1510,2662,2590,2051,1888,2013,1418,1485,1593,1736,1692,1136,1230,953,978,866,693,205
2026-06-02 15:45:50,2032,920,1451,2722,2573,2032,1869,2037,1417,1518,1618,1731,1729,1172,1214,944,965,869,676,209
2026-06-02 15:46:00,1949,895,1398,2736,2606,1949,1850,2086,1408,1541,1658,1739,1750,1181,1158,938,958,881,654,220
2026-06-02 15:46:10,1939,881,1325,2807,2613,1939,1860,2127,1396,1557,1655,1740,1750,1183,1132,923,964,909,653,224
